compid;compid;composito;holeid;midx;midy;midz;sampleid;campana;starkey_min;bwi_kwh_tc;bwi_kwh_tm;ai_;rec_cut_pct;rec_as_pct;rec_ag_pct;rec_zn_pct;rec_peso_pct;velsed_cf12_mh;pct_sol_finalescf;velsed_sflo_mh;sol_finalessf_pct;ys54pct_pa;ys57pct_pa;ys60pct_pa;ph_natural;lito;alte;piso;uge;ind88;ugm_starkey;ugm_wi;ugm_rec_cu;ugm_rec_as;ugm_rec_ag;ugm_rec_ag_a;ugm_rec_zn;ugm_velsed;ugm_ys;kcuklimpel;kagklimpel;kcugz;kaggz;recmasicacf_12min;recmasicatf_12min;bo;cs;cpy;cv;esf;en;py;tetra;ten;ag;as;au;cut;cus;fet;mo;pb;sb;zn
compid;compid;PGD-025;MHDD0090;9225.065;24990.077;2201.936;MGM-17933;PGD2016;19.1;11.1;12.2;-99;92.8;79.5;90.7;92.8;30.04;16.8;52.76;0.05;27.93;1.38;5.19;14.97;-99;Andesita;Filica;BAS;C1;1;3;3;4;4;6;6;2;4;2;-99;-99;0.2;-99;30.252;30.043;0;0.84;0.36;0;0.51;0.07;9.01;0.01;0;0.003;0.023;0.01;0.99;0.05;4.71;0.001;0.038;0;0.335
compid;compid;PGD-026;MHDD0090;9216.594;24989.992;2186.91;MGM-17934;PGD2016;18.4;11.8;13;-99;78.4;83.4;78.6;81;36.75;6.6;40.93;0.03;19.31;11.84;25.78;42.62;-99;Andesita;Filica;BAS;C1;0;3;3;5;4;6;6;2;4;2;-99;-99;0.1;-99;35.956;36.75;0;0.67;0.4;0;0.35;0.05;9.04;0;0;0.002;0.016;0.03;0.54;0.02;4.2;0.003;0.017;0;0.173
compid;compid;PGD-027;MHDD0090;9210.758;24989.933;2176.424;MGM-17935;PGD2016;20.4;13;14.4;-99;90;51.6;67.3;80.6;16.63;9.7;50.86;0.06;30.9;8.42;18.11;26.76;-99;Andesita;Filica;BAS;C1;1;3;3;4;4;6;6;2;4;2;-99;-99;0.2;-99;17.756;16.633;0;0.67;0.4;0;0.35;0.05;9.04;0;0;0.002;0.016;0.03;0.54;0.02;4.2;0.003;0.017;0;0.173
compid;compid;PGD-028;MHDD0090;9200.992;24989.705;2158.687;MGM-17936;PGD2016;20.8;11.4;12.6;-99;92.9;96;92.1;92.8;13.04;26.4;58.29;0.19;48.61;5.89;9.32;12.37;-99;Granodiorita;Argilica;AAS;BHX;1;5;5;3;3;3;3;3;23;4;-99;-99;0.2;-99;13.671;13.044;0.02;0.73;0.51;0;0.39;0.14;6.48;0;0.01;0.003;0.056;0.03;1.39;0.03;2.86;0.003;0.071;0;0.336
compid;compid;PGD-029;MHDD0090;9196.658;24989.577;2150.8;MGM-17937;PGD2016;17.2;10.4;11.4;-99;92.2;96.4;94.2;93.3;15.83;22.6;59.77;0.11;39.95;7.74;15.55;18.2;-99;Granodiorita;Argilica;AAS;C5;1;5;5;3;3;3;3;3;23;5;-99;-99;0.2;-99;14.288;15.834;0;1.64;0.35;0;0.64;0.39;6.36;0.01;0;0.002;0.06;0.03;2;0.06;3;0.005;0.059;0.004;0.313
compid;compid;PGD-030;MHDD0090;9190.897;24989.392;2140.275;MGM-17938;PGD2016;8.9;7.5;8.2;-99;90.5;73.8;68.6;91.3;14.7;5.2;45.37;0.06;30.73;11.42;33.75;50.48;-99;Andesita;Argilica Ava;BAS;C5;1;5;5;4;4;5;5;2;6;6;-99;-99;0.2;-99;15.276;14.7;0;0.96;0.45;0;0.62;0.3;6.28;0.01;0;0.002;0.056;0.04;1.19;0.04;3.4;0.005;0.065;0.006;0.351
compid;compid;PGD-031;MHDD0090;9184.795;24989.233;2129.081;MGM-17939;PGD2016;53.6;15.2;16.7;-99;89.6;69.9;80.7;77.4;28.51;29.5;55.35;1;63.5;0.41;6.75;14.6;-99;Granodiorita;Argilica Ava;AAS;C5;1;5;5;3;3;3;3;3;23;5;-99;-99;0.1;-99;28.726;28.513;0;1.13;0.48;0;0.14;0.43;7.35;0.04;0;0.003;0.069;0.23;1.4;0.07;3.05;0.003;0.074;0.019;0.064
compid;compid;PGD-032;MHDD0089;9201.51;25057.59;2201.344;MGM-17940;PGD2016;12;9.6;10.6;-99;83.3;87.5;83.3;76.4;11.15;0.7;42.99;0.05;26.72;10.7;22.96;32.91;-99;Andesita;Filica;AAS;C5;0;3;3;5;3;3;3;3;6;2;-99;-99;0.2;-99;12.548;11.148;0.02;0.93;0.45;0;0.45;0.21;3.7;0;0;0.001;0.039;0.03;1.6;0.07;2.23;0.004;0.141;0;0.203
compid;compid;PGD-033;MHDD0089;9202.542;25057.391;2187.885;MGM-17941;PGD2016;15.6;8.3;9.2;-99;83.8;76.6;68.8;68.2;10.08;0.7;35.61;0.05;25.44;10.05;23.68;26.71;-99;Andesita;Filica;BAS;C5;0;3;3;5;4;5;5;2;4;2;-99;-99;0.3;-99;9.161;10.081;0.09;0.63;0.69;0;0.55;0.18;4.61;0;0;0.001;0.035;0.06;0.8;0.04;2.43;0.003;0.061;0.001;0.393
compid;compid;PGD-034;MHDD0089;9203.915;25057.043;2169.189;MGM-17942;PGD2016;11.8;10.6;11.7;-99;86.3;39.8;64.3;71.5;15.26;0.7;42.43;0.05;24.09;23.1;28.27;69.84;-99;Andesita;Filica;BAS;C5;0;3;3;5;4;5;5;2;4;2;-99;-99;0.2;-99;13.652;15.264;0.1;0.79;0.63;0;0.5;0.04;9.61;0;0;0.001;0.017;0.02;1.04;0.03;4.53;0.006;0.01;0;0.229
